Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,FLMUSDT,438.596,0.0341,,0.0342,,,,,,,
OPEN,LONG,FLMUSDT,442.757,0.0338,,0.03387861,,,,,,,
CLOSE,LONG,FLMUSDT,442.757,0.0339,0.0338,0.0339,0.0338,2025-05-05 20:32:30,2025-05-05 20:32:36,-0.0348,0.0551,-0.0037,0.1
OPEN,LONG,FLMUSDT,441.303,0.0339,,0.03399025,,,,,,,
CLOSE,LONG,FLMUSDT,441.303,0.034,0.034,0.034,0.034,2025-05-05 20:43:20,2025-05-05 20:43:25,0.0043,0.0056,-0.0141,0.08
